Date,Price,Open,High,Low,Vol.,Change %
"Apr 03, 2018",7.15,7.17,7.2,7.11,562.02K,0.28
"Apr 02, 2018",7.13,7.24,7.24,7.12,652.66K,-1.79
"Mar 29, 2018",7.26,7.27,7.3,7.23,788.53K,-0.55
"Mar 28, 2018",7.3,7.31,7.4,7.28,1.57M,1.53
"Mar 27, 2018",7.19,7.28,7.41,7.18,2.37M,-0.96
"Mar 26, 2018",7.26,7.2,7.26,7.14,514.47K,1.97
"Mar 23, 2018",7.12,7.23,7.23,7.11,740.68K,-1.52
"Mar 22, 2018",7.23,7.29,7.29,7.19,769.70K,-2.03
"Mar 21, 2018",7.38,7.37,7.42,7.36,784.74K,2.36
"Mar 20, 2018",7.21,7.2,7.25,7.17,1.11M,0
"Mar 19, 2018",7.21,7.22,7.25,7.16,634.04K,-0.14
"Mar 16, 2018",7.22,7.28,7.29,7.19,725.09K,-0.41
"Mar 15, 2018",7.25,7.33,7.34,7.24,842.46K,-1.36
"Mar 14, 2018",7.35,7.33,7.35,7.3,674.43K,0.55
"Mar 13, 2018",7.31,7.44,7.49,7.29,1.01M,-2.14
"Mar 12, 2018",7.47,7.5,7.52,7.46,1.51M,-0.13
"Mar 09, 2018",7.48,7.37,7.51,7.37,2.05M,1.91
"Mar 08, 2018",7.34,7.27,7.34,7.27,722.08K,2.23
"Mar 07, 2018",7.18,7.14,7.19,7.1,775.49K,0.42
"Mar 06, 2018",7.15,7.14,7.2,7.12,807.28K,1.71
"Mar 05, 2018",7.03,6.96,7.07,6.95,791.61K,-0.42
"Mar 02, 2018",7.06,6.92,7.06,6.88,880.49K,2.17
"Mar 01, 2018",6.91,6.95,6.98,6.84,1.02M,1.32
"Feb 28, 2018",6.82,6.87,6.88,6.8,692.62K,-0.44
"Feb 27, 2018",6.85,6.88,6.91,6.84,485.98K,-0.87
"Feb 26, 2018",6.91,6.9,6.93,6.85,575.30K,0
"Feb 23, 2018",6.91,6.84,6.92,6.81,446.52K,1.62
"Feb 22, 2018",6.8,6.85,6.85,6.78,557.85K,-1.31
"Feb 21, 2018",6.89,6.91,6.95,6.88,489.27K,0.44
"Feb 20, 2018",6.86,6.85,6.87,6.78,683.44K,-0.29
"Feb 16, 2018",6.88,6.89,6.91,6.85,442.22K,-0.15
"Feb 15, 2018",6.89,6.86,6.91,6.8,347.60K,1.03
"Feb 14, 2018",6.82,6.7,6.84,6.65,686.02K,1.49
"Feb 13, 2018",6.72,6.74,6.76,6.67,326.49K,-0.15
"Feb 12, 2018",6.73,6.69,6.77,6.64,682.00K,1.36
"Feb 09, 2018",6.64,6.57,6.69,6.5,1.36M,1.37
"Feb 08, 2018",6.55,6.76,6.76,6.54,1.27M,-2.67
"Feb 07, 2018",6.73,6.85,6.85,6.73,1.12M,-3.58
