Date,Price,Open,High,Low,Change %
"Apr 03, 2018",79.749,80.043,80.1923,79.667,-0.47
"Apr 02, 2018",80.123,80.247,80.397,79.976,-0.14
"Mar 30, 2018",80.238,80.088,80.297,80.049,0.17
"Mar 29, 2018",80.098,80.199,80.4,79.993,-0.13
"Mar 28, 2018",80.199,80.557,80.952,80.146,-0.44
"Mar 27, 2018",80.551,80.668,80.864,80.4,-0.13
"Mar 26, 2018",80.6585,80.2405,80.7885,80.1875,0.47
"Mar 23, 2018",80.2825,80.0985,80.4625,80.0745,0.24
"Mar 22, 2018",80.092,80.413,80.628,79.981,-0.41
"Mar 21, 2018",80.419,79.83,80.503,79.823,0.74
"Mar 20, 2018",79.83,80.448,80.572,79.81,-0.77
"Mar 19, 2018",80.4485,79.8335,80.6185,79.7105,0.72
"Mar 16, 2018",79.8695,79.9675,80.1435,79.6205,-0.12
"Mar 15, 2018",79.967,80.178,80.437,79.886,-0.27
"Mar 14, 2018",80.1875,80.3685,80.7165,80.0775,-0.21
"Mar 13, 2018",80.3555,80.1655,80.4785,79.9655,0.25
"Mar 12, 2018",80.159,80.182,80.266,79.93,0.01
"Mar 09, 2018",80.1495,80.1575,80.3755,79.9655,-0.01
"Mar 08, 2018",80.157,80.536,81.074,80.118,-0.45
"Mar 07, 2018",80.5225,80.5145,80.8025,80.3415,0.02
"Mar 06, 2018",80.508,80.215,80.656,80.172,0.37
"Mar 05, 2018",80.215,80.365,80.645,79.853,-0.15
"Mar 02, 2018",80.3345,80.0075,80.4705,79.9105,0.39
"Mar 01, 2018",80.0205,79.5135,80.0535,79.2165,0.63
"Feb 28, 2018",79.517,79.423,79.814,79.306,0.13
"Feb 27, 2018",79.4165,79.7775,80.1605,79.2795,-0.46
"Feb 26, 2018",79.78,79.584,79.986,79.461,0.29
"Feb 23, 2018",79.5515,80.1105,80.1685,79.4925,-0.71
"Feb 22, 2018",80.1175,79.5965,80.3035,79.4795,0.64
"Feb 21, 2018",79.6065,80.0245,80.0815,79.5625,-0.52
"Feb 20, 2018",80.0245,79.7285,80.1615,79.5615,0.38
"Feb 19, 2018",79.7185,79.7305,79.8975,79.4615,0.07
"Feb 16, 2018",79.665,79.907,80.399,79.588,-0.31
"Feb 15, 2018",79.913,79.804,79.965,79.6,0.14
"Feb 14, 2018",79.8045,79.3805,79.9135,78.7015,0.53
"Feb 13, 2018",79.38,79.013,79.527,78.962,0.46
"Feb 12, 2018",79.013,78.848,79.064,78.714,0.32
"Feb 09, 2018",78.763,78.729,79.059,78.576,0.02
"Feb 08, 2018",78.748,78.833,79.084,78.48,-0.12
"Feb 07, 2018",78.8395,79.4975,79.5815,78.7175,-0.83
"Feb 06, 2018",79.4975,79.3215,79.8695,79.1175,0.22
"Feb 05, 2018",79.3255,79.8765,80.0585,79.2865,-0.74
"Feb 02, 2018",79.916,80.036,80.228,79.563,-0.15
"Feb 01, 2018",80.039,78.891,80.141,78.834,1.4
"Jan 31, 2018",78.9355,78.9815,79.3295,78.7255,-0.07
"Jan 30, 2018",78.988,78.756,79.266,78.616,0.3
"Jan 29, 2018",78.753,79.008,79.071,78.439,-0.29
"Jan 26, 2018",78.985,78.733,79.368,78.581,0.32
