Date,Price,Open,High,Low,Change %
"Apr 03, 2018",91.25,91.521,91.573,91.175,-0.25
"Apr 02, 2018",91.478,91.379,91.686,91.296,0.22
"Mar 30, 2018",91.275,91.268,91.568,91.223,0
"Mar 29, 2018",91.275,91.722,91.858,91.243,-0.49
"Mar 28, 2018",91.729,91.94,92.429,91.677,-0.23
"Mar 27, 2018",91.942,92.252,92.317,91.407,-0.32
"Mar 26, 2018",92.237,91.898,92.368,91.841,0.42
"Mar 23, 2018",91.854,91.776,92.107,91.556,0.09
"Mar 22, 2018",91.772,92.164,92.566,91.642,-0.43
"Mar 21, 2018",92.171,91.274,92.252,91.268,0.98
"Mar 20, 2018",91.281,91.465,91.698,91.156,-0.2
"Mar 19, 2018",91.465,90.537,91.847,90.46,0.96
"Mar 16, 2018",90.596,90.57,90.801,90.182,0.02
"Mar 15, 2018",90.58,90.527,90.891,90.313,0.06
"Mar 14, 2018",90.523,90.551,90.996,90.31,-0.03
"Mar 13, 2018",90.547,90.371,90.775,90.078,0.2
"Mar 12, 2018",90.365,90.215,90.464,90.012,0.19
"Mar 09, 2018",90.192,89.917,90.5,89.767,0.3
"Mar 08, 2018",89.923,90.183,90.524,89.797,-0.3
"Mar 07, 2018",90.19,90.141,90.392,89.892,0.06
"Mar 06, 2018",90.137,90.063,90.457,89.793,0.09
"Mar 05, 2018",90.053,89.873,90.305,89.532,0.02
"Mar 02, 2018",90.037,89.868,90.141,89.736,0.2
"Mar 01, 2018",89.861,89.742,89.926,89.395,0.14
"Feb 28, 2018",89.733,90.306,90.834,89.707,-0.62
"Feb 27, 2018",90.297,90.464,90.852,89.904,-0.19
"Feb 26, 2018",90.471,90.426,91.115,90.24,0.1
"Feb 23, 2018",90.384,90.689,90.761,89.996,-0.36
"Feb 22, 2018",90.715,90.205,90.904,90.063,0.58
"Feb 21, 2018",90.195,90.778,90.856,90.049,-0.64
"Feb 20, 2018",90.775,89.979,90.942,89.754,0.88
"Feb 19, 2018",89.982,90.169,90.278,89.68,-0.21
"Feb 16, 2018",90.174,90.089,90.536,89.885,0.09
"Feb 15, 2018",90.089,89.763,90.137,89.518,0.4
"Feb 14, 2018",89.727,89.29,89.856,88.466,0.5
"Feb 13, 2018",89.277,88.938,89.503,88.905,0.37
"Feb 12, 2018",88.951,88.977,89.254,88.734,-0.14
"Feb 09, 2018",89.079,89.457,89.979,88.615,-0.43
"Feb 08, 2018",89.464,89.237,90.398,88.984,0.26
"Feb 07, 2018",89.23,89.598,89.733,89.014,-0.4
"Feb 06, 2018",89.591,89.537,89.938,88.934,0.07
"Feb 05, 2018",89.529,90.618,90.742,89.504,-1.15
"Feb 02, 2018",90.567,91.264,91.59,90.419,-0.77
"Feb 01, 2018",91.267,90.183,91.35,90.106,1.19
"Jan 31, 2018",90.19,90.109,90.51,89.891,0.1
"Jan 30, 2018",90.099,89.508,90.227,89.148,0.65
