Date,Price,Open,High,Low,Vol.,Change %
"Apr 03, 2018","1,336.6","1,345.6","1,346.6","1,332.7",0,-0.76
"Apr 02, 2018","1,346.9","1,330.7","1,349.2","1,329",250.63K,1.48
"Mar 29, 2018","1,327.3","1,329.3","1,332.6","1,325.4",251.25K,-0.2
"Mar 28, 2018","1,330","1,351.1","1,352.2","1,327.7",386.85K,-1.33
"Mar 27, 2018","1,347.9","1,359.3","1,362.6","1,345.4",296.48K,-0.96
"Mar 26, 2018","1,360.9","1,350.6","1,361.8","1,349.2",192.81K,0.38
"Mar 23, 2018","1,355.7","1,335.5","1,356.3","1,334.7",127.20K,1.69
"Mar 22, 2018","1,333.2","1,338","1,340.8","1,330.3",70.66K,0.44
"Mar 21, 2018","1,327.3","1,317","1,342.6","1,315.5",66.74K,0.74
"Mar 20, 2018","1,317.6","1,322.4","1,323.7","1,312.4",56.56K,-0.44
"Mar 19, 2018","1,323.4","1,319.5","1,325.2","1,313.1",49.99K,0.41
"Mar 16, 2018","1,318","1,322.3","1,327.4","1,315.3",26.99K,-0.42
"Mar 15, 2018","1,323.5","1,330.7","1,333.8","1,320.7",14.09K,-0.59
"Mar 14, 2018","1,331.4","1,332.4","1,336.4","1,327.6",28.68K,-0.12
"Mar 13, 2018","1,333","1,329.3","1,334.6","1,320",40.23K,0.47
"Mar 12, 2018","1,326.7","1,329.8","1,330.4","1,321.4",31.32K,-0.24
"Mar 09, 2018","1,329.9","1,328.1","1,331.6","1,319.1",43.90K,0.17
"Mar 08, 2018","1,327.6","1,332.2","1,335.5","1,325.5",31.57K,-0.43
"Mar 07, 2018","1,333.4","1,343.8","1,347.5","1,329",31.03K,-0.57
"Mar 06, 2018","1,341","1,326.6","1,345.5","1,326.6",13.45K,1.15
"Mar 05, 2018","1,325.7","1,330.6","1,334.4","1,324",16.20K,-0.26
"Mar 02, 2018","1,329.2","1,323.9","1,332.4","1,321.9",10.25K,1.39
"Mar 01, 2018","1,311","1,325.6","1,327.6","1,309.3",27.77K,-0.96
"Feb 28, 2018","1,323.7","1,324.5","1,329.2","1,322.5",24.31K,-0.04
"Feb 27, 2018","1,324.2","1,340.5","1,343.8","1,320.4",14.02K,-1.06
"Feb 26, 2018","1,338.4","1,335","1,348.1","1,334.4",15.35K,0.19
"Feb 23, 2018","1,335.8","1,339.3","1,339.3","1,333",7.85K,-0.17
"Feb 22, 2018","1,338.1","1,332.3","1,339.5","1,328.2",10.48K,0.04
"Feb 21, 2018","1,337.5","1,336.6","1,343.1","1,330",2.96K,0.07
"Feb 20, 2018","1,336.6","1,355.1","1,359","1,336.1",15.41K,-0.83
