Date,Price,Open,High,Low,Change %
"Apr 03, 2018",0.6095,0.614,0.6158,0.6094,-0.74
"Apr 02, 2018",0.614,0.6112,0.615,0.6108,0.46
"Apr 01, 2018",0.6112,0.6112,0.6112,0.6112,-0.17
"Mar 30, 2018",0.6122,0.6119,0.6136,0.6115,0.06
"Mar 29, 2018",0.6119,0.6102,0.613,0.6094,0.28
"Mar 28, 2018",0.6102,0.6158,0.6174,0.6091,-0.92
"Mar 27, 2018",0.6158,0.6145,0.617,0.6127,0.22
"Mar 26, 2018",0.6145,0.6202,0.6202,0.6142,-0.93
"Mar 25, 2018",0.6202,0.6202,0.6202,0.6202,-0.05
"Mar 23, 2018",0.6206,0.6201,0.6223,0.6173,0.07
"Mar 22, 2018",0.6201,0.6153,0.6221,0.6142,0.78
"Mar 21, 2018",0.6153,0.6127,0.6155,0.6115,0.43
"Mar 20, 2018",0.6127,0.6152,0.6155,0.6116,-0.42
"Mar 19, 2018",0.6152,0.6132,0.617,0.6129,0.34
"Mar 18, 2018",0.6132,0.6132,0.6132,0.6132,-0.02
"Mar 16, 2018",0.6133,0.6113,0.615,0.6105,0.31
"Mar 15, 2018",0.6114,0.6108,0.6139,0.6107,0.08
"Mar 14, 2018",0.6109,0.6089,0.6115,0.6076,0.33
"Mar 13, 2018",0.6089,0.6115,0.6116,0.6047,-0.41
"Mar 12, 2018",0.6114,0.6096,0.6115,0.6089,0.29
"Mar 11, 2018",0.6096,0.6096,0.6096,0.6096,0
"Mar 09, 2018",0.6096,0.6118,0.6123,0.608,-0.36
"Mar 08, 2018",0.6118,0.6111,0.6145,0.611,0.11
"Mar 07, 2018",0.6111,0.6149,0.6159,0.6109,-0.62
"Mar 06, 2018",0.6149,0.612,0.6154,0.6102,0.48
"Mar 05, 2018",0.612,0.6169,0.6189,0.6118,-0.8
"Mar 04, 2018",0.6169,0.6169,0.6169,0.6169,0.02
"Mar 02, 2018",0.6168,0.6144,0.6197,0.6133,0.37
"Mar 01, 2018",0.6145,0.6115,0.6149,0.6079,0.49
"Feb 28, 2018",0.6115,0.6043,0.6122,0.6038,1.18
"Feb 27, 2018",0.6044,0.6049,0.6073,0.6028,-0.1
"Feb 26, 2018",0.605,0.6054,0.6081,0.6048,-0.07
"Feb 25, 2018",0.6054,0.6054,0.6054,0.6054,0
