Date,Price,Open,High,Low,Vol.,Change %
"Apr 04, 2018",2.704,2.705,2.715,2.701,0,0.04
"Apr 03, 2018",2.703,2.677,2.707,2.668,0,0.75
"Apr 02, 2018",2.683,2.73,2.759,2.65,165.21K,-1.83
"Mar 29, 2018",2.733,2.706,2.764,2.698,160.01K,1.3
"Mar 28, 2018",2.698,2.718,2.731,2.69,85.53K,0.26
"Mar 27, 2018",2.691,2.631,2.707,2.623,9.73K,2.79
"Mar 26, 2018",2.618,2.588,2.642,2.565,52.52K,1.04
"Mar 23, 2018",2.591,2.619,2.627,2.579,57.01K,-0.99
"Mar 22, 2018",2.617,2.648,2.667,2.611,103.06K,-0.8
"Mar 21, 2018",2.638,2.677,2.708,2.634,135.65K,-1.38
"Mar 20, 2018",2.675,2.66,2.695,2.65,126.46K,0.91
"Mar 19, 2018",2.651,2.683,2.71,2.64,115.51K,-1.38
"Mar 16, 2018",2.688,2.685,2.701,2.667,78.67K,0.26
"Mar 15, 2018",2.681,2.738,2.75,2.664,147.71K,-1.83
"Mar 14, 2018",2.731,2.787,2.798,2.71,146.22K,-1.97
"Mar 13, 2018",2.786,2.788,2.811,2.776,146.85K,0.29
"Mar 12, 2018",2.778,2.731,2.804,2.718,163.46K,1.68
"Mar 09, 2018",2.732,2.742,2.752,2.712,131.47K,-0.87
"Mar 08, 2018",2.756,2.786,2.793,2.737,148.18K,-0.76
"Mar 07, 2018",2.777,2.75,2.789,2.744,144.97K,1.02
"Mar 06, 2018",2.749,2.706,2.757,2.702,132.01K,1.66
"Mar 05, 2018",2.704,2.717,2.726,2.673,118.02K,0.33
"Mar 02, 2018",2.695,2.693,2.728,2.686,138.00K,-0.11
"Mar 01, 2018",2.698,2.668,2.731,2.642,206.39K,1.16
"Feb 28, 2018",2.667,2.693,2.71,2.659,133.15K,-0.6
"Feb 27, 2018",2.683,2.682,2.702,2.633,122.83K,1.67
"Feb 26, 2018",2.639,2.635,2.68,2.586,13.76K,0.53
"Feb 23, 2018",2.625,2.619,2.633,2.555,67.00K,-0.34
"Feb 22, 2018",2.634,2.657,2.67,2.607,60.42K,-0.94
"Feb 21, 2018",2.659,2.638,2.68,2.565,125.22K,1.64
"Feb 20, 2018",2.616,2.568,2.662,2.562,147.86K,0.38
"Feb 19, 2018",2.606,2.582,2.618,2.562,0,0.93
"Feb 18, 2018",2.582,2.57,2.587,2.568,0,0.94
"Feb 16, 2018",2.558,2.584,2.589,2.539,112.34K,-0.85
"Feb 15, 2018",2.58,2.613,2.623,2.53,163.82K,-0.27
"Feb 14, 2018",2.587,2.608,2.623,2.553,175.16K,-0.27
"Feb 13, 2018",2.594,2.566,2.642,2.562,203.10K,1.65
"Feb 12, 2018",2.552,2.554,2.607,2.538,196.43K,-1.24
"Feb 09, 2018",2.584,2.694,2.704,2.576,236.20K,-4.19
"Feb 08, 2018",2.697,2.702,2.758,2.681,191.59K,-0.19
"Feb 07, 2018",2.702,2.761,2.782,2.688,220.44K,-2.07
"Feb 06, 2018",2.759,2.767,2.785,2.695,185.16K,0.44
"Feb 05, 2018",2.747,2.825,2.88,2.736,200.18K,-3.48
