Date,Price,Open,High,Low,Vol.,Change %
"Apr 04, 2018","10,248.6","10,256.8","10,261.9","10,241.75",20.36K,0.04
"Apr 03, 2018","10,245","10,186.85","10,255.35","10,171.05",211.65M,0.33
"Apr 02, 2018","10,211.8","10,151.65","10,220.1","10,127.75",232.43M,0.97
"Mar 28, 2018","10,113.7","10,143.6","10,158.35","10,096.9",354.98M,-0.69
"Mar 27, 2018","10,184.15","10,188","10,207.9","10,139.65",232.71M,0.53
"Mar 26, 2018","10,130.65","9,989.15","10,143.5","9,958.55",270.66M,1.33
"Mar 23, 2018","9,998.05","9,968.8","10,027.7","9,951.9",294.52M,-1.15
"Mar 22, 2018","10,114.75","10,167.5","10,207.85","10,105.4",237.63M,-0.4
"Mar 21, 2018","10,155.25","10,181.95","10,227.3","10,132.95",211.06M,0.31
"Mar 20, 2018","10,124.35","10,051.55","10,155.65","10,049.1",209.33M,0.3
"Mar 19, 2018","10,094.25","10,215.35","10,224.55","10,075.3",216.67M,-0.99
"Mar 16, 2018","10,195.15","10,345.15","10,346.3","10,180.25",338.70M,-1.59
"Mar 15, 2018","10,360.15","10,405.45","10,420","10,346.2",179.31M,-0.49
"Mar 14, 2018","10,410.9","10,393.05","10,420.35","10,336.3",186.99M,-0.15
"Mar 13, 2018","10,426.85","10,389.5","10,478.6","10,377.85",274.85M,0.05
"Mar 12, 2018","10,421.4","10,301.6","10,433.65","10,295.45",223.14M,1.9
"Mar 09, 2018","10,226.85","10,271.3","10,296.7","10,211.9",192.33M,-0.15
"Mar 08, 2018","10,242.65","10,216.25","10,270.35","10,146.4",233.38M,0.87
"Mar 07, 2018","10,154.2","10,232.95","10,243.35","10,141.55",257.20M,-0.93
"Mar 06, 2018","10,249.25","10,420.5","10,441.35","10,215.9",229.78M,-1.06
"Mar 05, 2018","10,358.85","10,428.3","10,428.7","10,323.9",199.98M,-0.95
"Mar 01, 2018","10,458.35","10,479.95","10,525.5","10,447.15",181.38M,-0.33
"Feb 28, 2018","10,492.85","10,488.95","10,535.5","10,461.55",294.79M,-0.58
"Feb 27, 2018","10,554.3","10,615.2","10,631.65","10,537.25",193.25M,-0.27
"Feb 26, 2018","10,582.6","10,526.55","10,592.95","10,520.2",177.24M,0.87
"Feb 23, 2018","10,491.05","10,408.1","10,499.1","10,396.65",217.13M,1.04
"Feb 22, 2018","10,382.7","10,354.35","10,397.55","10,340.65",323.26M,-0.14
"Feb 21, 2018","10,397.45","10,426","10,426.1","10,349.6",241.33M,0.36
"Feb 20, 2018","10,360.4","10,391","10,429.35","10,347.65",193.46M,-0.17
"Feb 19, 2018","10,378.4","10,488.9","10,489.35","10,302.75",193.09M,-0.71
"Feb 16, 2018","10,452.3","10,596.2","10,612.9","10,434.05",190.04M,-0.88
"Feb 15, 2018","10,545.5","10,537.9","10,618.1","10,511.05",217.09M,0.42
"Feb 14, 2018","10,500.9","10,585.75","10,590.55","10,456.65",236.33M,-0.37
"Feb 12, 2018","10,539.75","10,518.2","10,555.5","10,485.4",224.12M,0.81
"Feb 09, 2018","10,454.95","10,416.5","10,480.2","10,398.2",197.50M,-1.15
"Feb 08, 2018","10,576.85","10,518.5","10,637.8","10,479.55",239.41M,0.96
"Feb 07, 2018","10,476.7","10,607.2","10,614","10,446.4",258.10M,-0.21
"Feb 06, 2018","10,498.25","10,295.15","10,594.15","10,276.3",274.66M,-1.58
"Feb 05, 2018","10,666.55","10,604.3","10,702.75","10,586.8",247.48M,-0.87
"Feb 02, 2018","10,760.6","10,938.2","10,954.95","10,736.1",291.43M,-2.33
"Feb 01, 2018","11,016.9","11,044.55","11,117.35","10,878.8",315.74M,-0.1
"Jan 31, 2018","11,027.7","11,018.8","11,058.5","10,979.3",253.46M,-0.2
"Jan 30, 2018","11,049.65","11,120.85","11,121.1","11,033.9",234.97M,-0.73
"Jan 29, 2018","11,130.4","11,079.35","11,171.55","11,075.95",249.22M,0.55
"Jan 25, 2018","11,069.65","11,095.6","11,095.6","11,009.2",340.47M,-0.15
"Jan 24, 2018","11,086","11,069.35","11,110.1","11,046.15",292.20M,0.02
"Jan 23, 2018","11,083.7","10,997.4","11,092.9","10,994.55",293.45M,1.07
"Jan 22, 2018","10,966.2","10,883.2","10,975.1","10,881.4",238.82M,0.66
"Jan 19, 2018","10,894.7","10,829.2","10,906.85","10,793.9",214.01M,0.72
