Date,Price,Open,High,Low,Vol.,Change %
"Apr 03, 2018","21,292.29","21,115.48","21,333.5","21,056.02",657.95M,-0.45
"Apr 02, 2018","21,388.58","21,441.57","21,597.47","21,388.58",490.33M,-0.31
"Mar 30, 2018","21,454.3","21,392.42","21,512.8","21,311.5",655.77M,1.4
"Mar 29, 2018","21,159.08","21,250.96","21,298.57","20,996.22",813.22M,0.61
"Mar 28, 2018","21,031.31","20,893.05","21,031.31","20,776.82",908.13M,-1.34
"Mar 27, 2018","21,317.32","20,958.9","21,317.32","20,943.31",1.05B,2.65
"Mar 26, 2018","20,766.1","20,423.37","20,766.1","20,347.49",1.00B,0.72
"Mar 23, 2018","20,617.86","21,188.8","21,188.8","20,559.61",1.25B,-4.51
"Mar 22, 2018","21,591.99","21,352.16","21,592","21,349.71",851.61M,0.99
"Mar 20, 2018","21,380.97","21,297.98","21,384.86","21,223.97",685.64M,-0.47
"Mar 19, 2018","21,480.9","21,537.9","21,659.04","21,366.88",693.52M,-0.9
"Mar 16, 2018","21,676.51","21,876.53","21,879.28","21,632.85",779.92M,-0.58
"Mar 15, 2018","21,803.95","21,704.14","21,825.97","21,555.49",672.61M,0.12
"Mar 14, 2018","21,777.29","21,764.99","21,881.09","21,684.02",669.69M,-0.87
"Mar 13, 2018","21,968.1","21,742.45","21,968.1","21,700.78",702.20M,0.66
"Mar 12, 2018","21,824.03","21,826.1","21,971.16","21,689.97",728.26M,1.65
"Mar 09, 2018","21,469.2","21,594.22","21,884.45","21,357.55",1.14B,0.47
"Mar 08, 2018","21,368.07","21,488.16","21,488.16","21,299.4",742.54M,0.54
"Mar 07, 2018","21,252.72","21,261.96","21,484.08","21,201.94",897.30M,-0.77
"Mar 06, 2018","21,417.76","21,390.2","21,551.14","21,381.42",787.62M,1.79
"Mar 05, 2018","21,042.09","21,047.81","21,164.38","20,937.26",898.57M,-0.66
"Mar 02, 2018","21,181.64","21,339.98","21,366.09","21,088.96",1.00B,-2.5
"Mar 01, 2018","21,724.47","21,901.13","21,901.13","21,645.22",930.67M,-1.56
"Feb 28, 2018","22,068.24","22,292.53","22,380.28","22,068.24",914.90M,-1.44
"Feb 27, 2018","22,389.86","22,391.67","22,502.05","22,325.07",765.76M,1.07
"Feb 26, 2018","22,153.63","22,134.64","22,226.53","22,040.87",665.57M,1.19
"Feb 23, 2018","21,892.78","21,789.72","21,903.39","21,741.63",665.76M,0.72
"Feb 22, 2018","21,736.44","21,789.88","21,799.4","21,626.85",796.71M,-1.07
"Feb 21, 2018","21,970.81","21,942.42","22,130.58","21,836.73",803.49M,0.21
