Date,Price,Open,High,Low,Vol.,Change %
"Apr 04, 2018","3,134.48","3,147.05","3,163.34","3,134.47",128.68K,-0.07
"Apr 03, 2018","3,136.63","3,130.01","3,144.33","3,119.13",15.22B,-0.84
"Apr 02, 2018","3,163.18","3,169.78","3,192.34","3,159.99",17.77B,-0.18
"Mar 30, 2018","3,168.9","3,161.79","3,177.72","3,152.89",15.46B,0.26
"Mar 29, 2018","3,160.53","3,127.26","3,174.51","3,098.25",17.03B,1.22
"Mar 28, 2018","3,122.29","3,130.57","3,165.21","3,117.53",16.35B,-1.4
"Mar 27, 2018","3,166.65","3,164.8","3,172.78","3,143.57",18.91B,1.05
"Mar 26, 2018","3,133.72","3,117.32","3,134.28","3,091.46",18.64B,-0.6
"Mar 23, 2018","3,152.76","3,172.77","3,188.24","3,110.66",27.55B,-3.39
"Mar 22, 2018","3,263.48","3,281.26","3,288.8","3,242.76",15.04B,-0.53
"Mar 21, 2018","3,280.95","3,299.73","3,314.21","3,268.88",16.84B,-0.29
"Mar 20, 2018","3,290.64","3,257.22","3,292.57","3,252.43",13.99B,0.35
"Mar 19, 2018","3,279.25","3,264.93","3,280.57","3,251.05",13.80B,0.29
"Mar 16, 2018","3,269.88","3,290.21","3,300.57","3,269.28",14.12B,-0.65
"Mar 15, 2018","3,291.11","3,277.51","3,297.1","3,273.2",14.86B,-0.01
"Mar 14, 2018","3,291.38","3,298.67","3,304.98","3,287.36",15.75B,-0.57
"Mar 13, 2018","3,310.24","3,324.12","3,333.88","3,307.38",17.71B,-0.49
"Mar 12, 2018","3,326.7","3,319.21","3,333.56","3,313.56",20.65B,0.59
"Mar 09, 2018","3,307.17","3,291.43","3,309.72","3,283.56",16.84B,0.57
"Mar 08, 2018","3,288.41","3,268.35","3,289.5","3,261.55",14.98B,0.51
"Mar 07, 2018","3,271.67","3,288.86","3,308.41","3,264.76",16.87B,-0.55
"Mar 06, 2018","3,289.64","3,266.49","3,290.25","3,243.65",19.54B,1
"Mar 05, 2018","3,256.93","3,255.87","3,269.4","3,236.72",14.48B,0.07
"Mar 02, 2018","3,254.53","3,248.45","3,269.94","3,242.27",15.09B,-0.59
"Mar 01, 2018","3,273.75","3,235.09","3,280.15","3,228.58",15.91B,0.44
"Feb 28, 2018","3,259.41","3,264.06","3,277.83","3,239.84",15.10B,-0.99
"Feb 27, 2018","3,292.07","3,328.67","3,328.67","3,284.63",17.42B,-1.13
"Feb 26, 2018","3,329.57","3,307.3","3,335.99","3,281.61",18.86B,1.23
"Feb 23, 2018","3,289.02","3,275.43","3,294.13","3,258.49",14.58B,0.63
"Feb 22, 2018","3,268.56","3,237.57","3,269.92","3,234.12",13.87B,2.17
"Feb 14, 2018","3,199.16","3,188.25","3,203.5","3,171.38",10.03B,0.45
"Feb 13, 2018","3,184.96","3,176.11","3,219.22","3,176.11",15.15B,0.98
"Feb 12, 2018","3,154.13","3,128.37","3,168.13","3,113.61",15.33B,0.78
"Feb 09, 2018","3,129.85","3,172.85","3,180.11","3,062.74",25.64B,-4.05
"Feb 08, 2018","3,262.05","3,281.05","3,307.16","3,225.71",20.13B,-1.43
"Feb 07, 2018","3,309.26","3,412.74","3,425.54","3,304.01",26.09B,-1.82
"Feb 06, 2018","3,370.65","3,418.01","3,440.12","3,364.22",28.06B,-3.35
"Feb 05, 2018","3,487.5","3,411.67","3,487.72","3,406.24",21.77B,0.73
"Feb 02, 2018","3,462.08","3,419.22","3,463.16","3,388.86",20.81B,0.44
"Feb 01, 2018","3,446.98","3,478.67","3,495.09","3,424.42",26.05B,-0.97
"Jan 31, 2018","3,480.83","3,470.51","3,495.45","3,454.73",20.73B,-0.21
"Jan 30, 2018","3,488.01","3,511.5","3,523.05","3,484.66",18.64B,-0.99
"Jan 29, 2018","3,523","3,563.64","3,587.03","3,510.27",23.60B,-0.99
"Jan 26, 2018","3,558.13","3,535.49","3,574.9","3,534.2",22.27B,0.28
"Jan 25, 2018","3,548.31","3,555.17","3,571.48","3,528.03",24.34B,-0.31
"Jan 24, 2018","3,559.47","3,553.48","3,569.49","3,527.11",25.30B,0.37
"Jan 23, 2018","3,546.5","3,504.34","3,547.22","3,504.34",23.87B,1.29
"Jan 22, 2018","3,501.36","3,476.99","3,503.39","3,475.67",21.75B,0.39
"Jan 19, 2018","3,487.86","3,481.62","3,498.43","3,474.29",24.75B,0.38
"Jan 18, 2018","3,474.75","3,449.88","3,476.55","3,448.79",22.00B,0.87
"Jan 17, 2018","3,444.67","3,438.58","3,465.2","3,430.51",26.10B,0.24
"Jan 16, 2018","3,436.59","3,403.47","3,437.58","3,401.96",21.15B,0.77
"Jan 15, 2018","3,410.49","3,428.95","3,442.5","3,402.31",23.20B,-0.54
"Jan 12, 2018","3,428.94","3,423.88","3,435.42","3,417.98",17.41B,0.11
"Jan 11, 2018","3,425.34","3,415.59","3,426.48","3,405.64",17.38B,0.1
"Jan 10, 2018","3,421.83","3,414.11","3,430.21","3,398.84",20.91B,0.23
"Jan 09, 2018","3,413.9","3,406.11","3,417.23","3,403.59",19.15B,0.13
"Jan 08, 2018","3,409.48","3,391.55","3,412.73","3,384.56",23.62B,0.52
"Jan 05, 2018","3,391.75","3,386.46","3,402.07","3,380.24",21.31B,0.18
"Jan 04, 2018","3,385.71","3,371","3,392.83","3,365.3",20.70B,0.49
"Jan 03, 2018","3,369.11","3,347.74","3,379.92","3,345.29",21.38B,0.62
"Jan 02, 2018","3,348.33","3,314.03","3,349.05","3,314.03",20.23B,1.24
"Dec 29, 2017","3,307.17","3,295.25","3,308.22","3,292.77",14.16B,0.33
"Dec 28, 2017","3,296.38","3,272.29","3,304.1","3,263.73",17.54B,0.63
"Dec 27, 2017","3,275.78","3,302.46","3,307.08","3,270.35",16.27B,-0.92
"Dec 26, 2017","3,306.12","3,277.84","3,307.3","3,274.33",14.24B,0.78
"Dec 25, 2017","3,280.46","3,296.21","3,312.3","3,270.44",14.69B,-0.5
"Dec 22, 2017","3,297.06","3,297.69","3,307.33","3,293.44",12.40B,-0.09
"Dec 21, 2017","3,300.06","3,281.12","3,309.22","3,267.4",14.21B,0.38
"Dec 20, 2017","3,287.61","3,296.74","3,300.21","3,276.12",13.77B,-0.27
"Dec 19, 2017","3,296.54","3,266.02","3,296.94","3,266.02",11.51B,0.88
"Dec 18, 2017","3,267.92","3,268.03","3,280.54","3,254.18",12.07B,0.05
"Dec 15, 2017","3,266.14","3,287.53","3,287.53","3,259.39",13.09B,-0.8
"Dec 14, 2017","3,292.44","3,302.93","3,309.53","3,282.57",12.05B,-0.32
"Dec 13, 2017","3,303.04","3,278.4","3,304.01","3,273.32",11.20B,0.68
"Dec 12, 2017","3,280.81","3,320.31","3,320.31","3,280.33",12.46B,-1.25
"Dec 11, 2017","3,322.2","3,290.49","3,322.67","3,288.29",13.20B,0.98
"Dec 08, 2017","3,289.99","3,264.48","3,297.13","3,258.76",13.32B,0.55
"Dec 07, 2017","3,272.05","3,283.28","3,291.28","3,259.16",13.21B,-0.67
"Dec 06, 2017","3,293.96","3,291.31","3,296.2","3,254.61",15.16B,-0.29
"Dec 05, 2017","3,303.68","3,301.69","3,315.74","3,300.51",20.83B,-0.18
"Dec 04, 2017","3,309.62","3,310.38","3,324","3,304.1",14.81B,-0.24
"Dec 01, 2017","3,317.62","3,315.11","3,324.52","3,302.44",13.92B,0.01
"Nov 30, 2017","3,317.19","3,328.64","3,340.92","3,306.28",15.66B,-0.62
"Nov 29, 2017","3,337.86","3,335.57","3,343.06","3,305.57",18.38B,0.13
"Nov 28, 2017","3,333.66","3,311.23","3,333.8","3,300.78",13.82B,0.34
"Nov 27, 2017","3,322.23","3,346.66","3,347.05","3,315.26",16.64B,-0.94
"Nov 24, 2017","3,353.82","3,340.38","3,360.75","3,328.33",15.96B,0.06
"Nov 23, 2017","3,351.92","3,425.01","3,429.42","3,342.33",21.53B,-2.29
"Nov 22, 2017","3,430.46","3,417.33","3,442.18","3,404.29",21.36B,0.59
"Nov 21, 2017","3,410.5","3,382.36","3,419.8","3,377.6",19.69B,0.53
"Nov 20, 2017","3,392.4","3,361.36","3,393.11","3,337.12",17.65B,0.28
"Nov 17, 2017","3,382.91","3,392.68","3,403.29","3,373.3",24.95B,-0.48
"Nov 16, 2017","3,399.25","3,393.19","3,409.65","3,390.59",15.67B,-0.1
"Nov 15, 2017","3,402.52","3,416.21","3,423.75","3,396.38",16.88B,-0.79
"Nov 14, 2017","3,429.55","3,446.55","3,450.49","3,419.69",19.65B,-0.53
"Nov 13, 2017","3,447.84","3,435.18","3,449.16","3,435.08",20.54B,0.44
"Nov 10, 2017","3,432.67","3,423.18","3,438.79","3,414.33",18.93B,0.14
"Nov 09, 2017","3,427.79","3,410.67","3,428.77","3,408.62",15.86B,0.36
"Nov 08, 2017","3,415.46","3,409.15","3,434.49","3,404.88",18.54B,0.06
"Nov 07, 2017","3,413.57","3,389.47","3,415.15","3,387.95",19.06B,0.75
"Nov 06, 2017","3,388.17","3,369.68","3,389.38","3,356.53",15.46B,0.49
"Nov 03, 2017","3,371.74","3,377.74","3,380.57","3,347.36",17.27B,-0.34
"Nov 02, 2017","3,383.31","3,391.65","3,391.65","3,372.21",16.69B,-0.37
"Nov 01, 2017","3,395.91","3,393.97","3,410.35","3,388.6",18.06B,0.08
"Oct 31, 2017","3,393.34","3,381","3,397.1","3,376.12",15.35B,0.09
"Oct 30, 2017","3,390.34","3,413.87","3,419.73","3,357.28",20.83B,-0.77
"Oct 27, 2017","3,416.81","3,404.5","3,421.1","3,402.11",17.03B,0.27
"Oct 26, 2017","3,407.57","3,397.52","3,414.24","3,391.45",18.38B,0.31
"Oct 25, 2017","3,396.9","3,384.86","3,398.3","3,382.03",12.31B,0.26
"Oct 24, 2017","3,388.25","3,376.6","3,388.69","3,374.12",13.99B,0.22
"Oct 23, 2017","3,380.7","3,382.28","3,385.29","3,374.7",13.08B,0.06
"Oct 20, 2017","3,378.65","3,363.51","3,379.77","3,360.1",12.72B,0.25
"Oct 19, 2017","3,370.17","3,374.64","3,378.74","3,359.63",15.85B,-0.34
"Oct 18, 2017","3,381.79","3,373.53","3,383.23","3,371.92",15.72B,0.29
"Oct 17, 2017","3,372.04","3,373.23","3,382.41","3,365.56",12.54B,-0.19
"Oct 16, 2017","3,378.47","3,393.21","3,400.51","3,374.77",17.43B,-0.36
"Oct 13, 2017","3,390.52","3,384.49","3,395.75","3,383.24",14.00B,0.13
