Date,Open,High,Low,Close
2000-01-03,147.53,148.78,147.4,148.67
2000-01-04,149.13,149.94,148.98,149.75
2000-01-05,149.64,150.34,149.52,149.91
2000-01-06,149.51,150.18,149.25,149.67
2000-01-07,150.07,150.13,149.6,149.86
2000-01-10,149.59,149.66,149.06,149.39
2000-01-11,149.48,150.1,149.4,150.08
2000-01-12,149.75,150.01,149.31,149.67
2000-01-13,149.43,149.47,148.99,149.11
2000-01-14,148.72,148.88,147.79,147.88
2000-01-17,148,148.1,147.46,147.76
2000-01-18,147.67,147.88,147.39,147.82
2000-01-19,147.56,147.73,147.2,147.45
2000-01-20,147.16,147.49,146.79,147.4
2000-01-21,147.28,147.41,146.44,146.72
2000-01-24,145.79,146.15,145.58,146.15
2000-01-25,146.51,146.69,146.01,146.16
2000-01-26,146.37,146.61,146.21,146.32
2000-01-27,145.63,145.73,144.62,144.75
2000-01-28,144.47,144.66,143.68,143.92
2000-01-31,144.11,144.42,143.51,143.66
2000-02-01,143.65,144.15,143.39,143.78
2000-02-02,144.53,145.12,144.32,144.85
2000-02-03,145.9,146.95,145.56,146.69
2000-02-04,146.44,146.6,145.44,145.88
2000-02-07,145.68,145.86,145.26,145.72
2000-02-08,145.68,146.38,145.53,146.04
2000-02-09,146.25,146.87,146.16,146.72
2000-02-10,146.58,146.68,145.87,146.08
2000-02-11,146.52,146.71,146.15,146.56
2000-02-14,146.37,146.64,145.79,145.89
2000-02-15,145.9,146.41,145.75,146.12
2000-02-16,145.76,146.17,145.6,146.12
2000-02-17,146.2,146.89,146.07,146.49
2000-02-18,146.62,146.82,146.24,146.57
2000-02-21,146.51,146.83,146.45,146.74
2000-02-22,147.52,148.71,147.51,148.46
2000-02-23,148.6,148.98,148.38,148.58
2000-02-24,148.27,148.34,147.29,147.63
2000-02-25,146.59,146.6,145.19,145.34
2000-02-28,144.82,144.83,142.71,144.55
2000-02-29,144.86,145.94,144.39,144.63
2000-03-01,144.77,145.49,144.42,145.04
2000-03-02,144.81,145.23,144.11,144.33
2000-03-03,144.08,144.35,143.71,143.81
