Date,Open,High,Low,Close
2000-01-03,294.4,295.53,293.78,294.37
2000-01-04,291.98,292.09,289.36,289.45
2000-01-05,287.74,288.37,286.22,286.36
2000-01-06,284.02,284.39,282.31,282.7
2000-01-07,283.85,284.59,283.25,283.94
2000-01-10,284.62,285.86,284.39,284.79
2000-01-11,282.48,282.48,280.72,280.92
2000-01-12,281.09,281.9,280.78,281.26
2000-01-13,281.58,282.24,281.28,281.59
2000-01-14,283.14,284.41,282.56,284.04
2000-01-17,285.68,287.52,285.62,287.12
2000-01-18,285.15,285.4,284.07,284.13
2000-01-19,283.82,284.65,283.38,284.25
2000-01-20,283.4,283.75,282.79,283.16
2000-01-21,285.05,286.7,284.86,286.21
2000-01-24,283.89,284.66,283.03,283.18
2000-01-25,284.35,284.7,283.72,284.1
2000-01-26,284.62,285.23,284.25,285
2000-01-27,286.68,288.53,286.31,287.91
2000-01-28,286.89,287.78,284.76,285.1
2000-01-31,285.72,286.29,284.97,285.55
2000-02-01,284.4,284.85,283.51,283.94
2000-02-02,283.64,284.04,282.21,283.11
2000-02-03,283.55,284.64,282.51,283.56
2000-02-04,284.99,286.12,284.53,285.84
2000-02-07,283.36,283.58,281.59,281.76
2000-02-08,279.91,280.05,278.4,278.75
2000-02-09,278.55,279.48,278.09,278.88
2000-02-10,279.49,280.52,279.12,279.47
2000-02-11,280.77,281.36,280.12,281.2
2000-02-14,281.54,282.9,281.54,282.06
2000-02-15,281.33,281.92,280.59,280.92
2000-02-16,279.19,279.63,278.48,278.73
2000-02-17,277.04,277.19,275.36,275.49
2000-02-18,275.92,276.25,275.12,275.59
2000-02-21,274.83,275.34,274.1,274.25
2000-02-22,273.82,274.34,272.77,273.63
2000-02-23,273.66,274.47,272.92,273.34
2000-02-24,274.07,275.41,273.71,274.44
2000-02-25,276.57,278.85,276.43,278.51
2000-02-28,279.27,282.11,279.06,280.22
2000-02-29,281.22,281.31,279.31,280.36
2000-03-01,284.41,288.03,283.87,287.24
2000-03-02,287.61,288.6,286.63,287.41
2000-03-03,287.46,288.09,286.82,287.61
2000-03-06,287.89,289.27,287.82,288.4
2000-03-07,289.79,292.24,289.04,291.56
2000-03-08,289.96,290.25,288.31,288.58
2000-03-09,289.35,290.54,289.09,289.72
2000-03-10,290.97,291.99,290.85,291.68
2000-03-13,292.11,293.81,291.67,292.87
2000-03-14,293.79,295.09,293.37,294.01
2000-03-15,294.53,295.24,293.08,294.22
2000-03-16,292.64,293.28,292.12,292.52
2000-03-17,291.51,291.66,289.76,289.86
2000-03-20,290.25,291.14,289.93,290.79
2000-03-21,290.91,291.22,290.1,290.74
2000-03-22,290.41,291.03,289.82,290.28
2000-03-23,287.53,287.66,286.06,286.45
2000-03-24,286.75,287.31,285.89,286.73
2000-03-27,288.11,289.09,287.73,288.91
2000-03-28,290.06,291.64,289.89,291.46
2000-03-29,292.03,293.44,291.51,292.55
2000-03-30,292.27,293.38,291.76,292.39
2000-03-31,296.55,301.29,295.78,300.26
2000-04-03,295.11,295.68,292.22,293.1
2000-04-04,292.51,293.19,290.99,291.76
2000-04-05,293.36,293.86,292.69,293.7
2000-04-06,294.44,294.92,293.88,294.58
2000-04-07,294.43,294.68,293.48,293.89
2000-04-10,290.85,291.22,289,289.38
2000-04-11,288.84,289.06,287.87,288.47
2000-04-12,289.38,291.64,289.2,290.8
2000-04-13,291.53,292.17,291.2,291.81
2000-04-14,292.24,293.56,291.78,293.16
2000-04-17,295.84,297.56,294.76,296.3
2000-04-18,296.17,297,295.84,296.15
2000-04-19,296.38,297.17,295.77,296.53
2000-04-20,295.34,295.94,294.28,294.62
2000-04-21,293.84,294.42,293.64,293.79
2000-04-24,294.24,294.97,293.74,294.29
2000-04-25,294.24,295.55,293.49,294.23
2000-04-26,293.73,294.82,293.07,293.66
2000-04-27,294.24,295.42,293.78,294.8
2000-04-28,293.62,293.85,291.18,291.45
2000-05-01,290.57,290.91,288.92,289.23
2000-05-02,289.55,290.82,289.35,290.35
2000-05-03,288.58,289.87,287.64,288.76
2000-05-04,292.94,294.87,292.35,294.56
2000-05-05,294.46,295.44,293.26,293.57
2000-05-08,292.08,292.84,291.17,291.66
2000-05-09,291.32,291.84,289.95,290.39
2000-05-10,292.13,292.82,291.21,291.65
2000-05-11,294.89,296.79,293.87,296.34
2000-05-12,293.42,294.33,291.77,292.54
2000-05-15,293.08,293.26,292,292.62
2000-05-16,292.91,293.51,291.92,292.45
2000-05-17,293.4,294.86,293.09,294.36
2000-05-18,297.17,298.21,296.67,297.79
2000-05-19,300.05,302.87,299.59,301.71
