Date,Close,Open,High,Low,Vol.,Change %
2000-01-03,"1,592.2","1,482.15","1,592.9","1,482.15",25.36M,7.55%
2000-01-04,"1,638.7","1,594.4","1,641.95","1,594.4",38.79M,2.92%
2000-01-05,"1,595.8","1,634.55","1,635.5","1,555.05",62.15M,-2.62%
2000-01-06,"1,617.6","1,595.8","1,639","1,595.8",51.27M,1.37%
2000-01-07,"1,613.3","1,616.6","1,628.25","1,597.2",54.32M,-0.27%
2000-01-10,"1,632.95","1,615.65","1,662.1","1,614.95",45.01M,1.22%
2000-01-11,"1,572.5","1,633.25","1,639.9","1,548.25",49.12M,-3.70%
2000-01-12,"1,624.8","1,572.3","1,631.55","1,571.7",38.37M,3.33%
2000-01-13,"1,621.4","1,627.85","1,671.15","1,613.65",44.74M,-0.21%
2000-01-14,"1,622.75","1,622.15","1,627.4","1,591.4",43.29M,0.08%
2000-01-17,"1,611.6","1,623.5","1,668.45","1,604.65",42.68M,-0.69%
2000-01-18,"1,606.7","1,611.65","1,615.15","1,587.85",37.56M,-0.30%
2000-01-19,"1,634.85","1,610.05","1,644.45","1,608.85",42.98M,1.75%
2000-01-20,"1,601.1","1,634.65","1,644.4","1,596.65",42.63M,-2.06%
2000-01-21,"1,620.6","1,601.25","1,626.5","1,593.2",39.72M,1.22%
2000-01-24,"1,613.6","1,623.05","1,645","1,608.3",34.73M,-0.43%
2000-01-25,"1,586.4","1,612.95","1,613.65","1,579.55",36.88M,-1.69%
2000-01-27,"1,603.9","1,600.5","1,633.55","1,600.05",38.10M,1.10%
2000-01-28,"1,599.1","1,603.65","1,610.9","1,592.7",46.56M,-0.30%
2000-01-31,"1,546.2","1,598.35","1,598.35","1,538.7",36.15M,-3.31%
2000-02-01,"1,549.5","1,546.2","1,554.15","1,521.4",37.16M,0.21%
2000-02-02,"1,588","1,554.2","1,605.9","1,554.2",39.36M,2.48%
2000-02-03,"1,597.9","1,591.25","1,616.7","1,591.25",40.83M,0.62%
2000-02-04,"1,599.75","1,598.5","1,621.35","1,596.45",30.46M,0.12%
2000-02-07,"1,636.6","1,599.8","1,645.9","1,599.8",34.67M,2.30%
2000-02-08,"1,662.75","1,636.6","1,676.1","1,636.6",40.72M,1.60%
2000-02-09,"1,689.65","1,666.95","1,731.65","1,666.7",41.77M,1.62%
2000-02-10,"1,711.2","1,692.1","1,713.7","1,692.1",30.11M,1.28%
2000-02-11,"1,756","1,712.85","1,771.65","1,712.85",33.41M,2.62%
2000-02-14,"1,744.5","1,777.75","1,795.45","1,738.75",31.62M,-0.65%
2000-02-15,"1,702.55","1,744.5","1,744.5","1,694.45",39.14M,-2.40%
2000-02-16,"1,711.1","1,704.85","1,742.8","1,704.15",31.31M,0.50%
2000-02-17,"1,742.1","1,710.05","1,753.1","1,710.05",28.33M,1.81%
2000-02-18,"1,717.8","1,742.3","1,764.15","1,713.45",24.49M,-1.39%
