Date,Open,High,Low,Close
2000-01-03,43.42,43.42,43.42,43.42
2000-01-04,43.41,43.41,43.41,43.41
2000-01-05,43.44,43.44,43.44,43.44
2000-01-06,43.43,43.43,43.43,43.43
2000-01-07,43.42,43.42,43.42,43.42
2000-01-10,43.42,43.42,43.42,43.42
2000-01-11,43.45,43.45,43.45,43.45
2000-01-12,43.45,43.45,43.45,43.45
2000-01-13,43.45,43.45,43.45,43.45
2000-01-14,43.45,43.45,43.45,43.45
2000-01-17,43.52,43.52,43.52,43.52
2000-01-18,43.55,43.55,43.55,43.55
2000-01-19,43.48,43.48,43.48,43.48
2000-01-20,43.5,43.5,43.5,43.5
2000-01-21,43.5,43.5,43.5,43.5
2000-01-24,43.6,43.6,43.6,43.6
2000-01-25,43.5,43.5,43.5,43.5
2000-01-26,43.5,43.5,43.5,43.5
2000-01-27,43.49,43.49,43.49,43.49
2000-01-28,43.55,43.55,43.55,43.55
2000-01-31,43.55,43.55,43.55,43.55
2000-02-01,43.59,43.59,43.59,43.59
2000-02-02,43.55,43.55,43.55,43.55
2000-02-03,43.56,43.56,43.56,43.56
2000-02-04,43.55,43.55,43.55,43.55
2000-02-07,43.58,43.58,43.58,43.58
2000-02-08,43.6,43.6,43.6,43.6
2000-02-09,43.52,43.52,43.52,43.52
2000-02-10,43.56,43.56,43.56,43.56
2000-02-11,43.56,43.56,43.56,43.56
2000-02-14,43.58,43.58,43.58,43.58
2000-02-15,43.59,43.59,43.59,43.59
2000-02-16,43.55,43.55,43.55,43.55
2000-02-17,43.53,43.53,43.53,43.53
2000-02-18,43.6,43.6,43.6,43.6
2000-02-21,43.582,43.582,43.582,43.582
2000-02-22,43.55,43.55,43.55,43.55
2000-02-23,43.58,43.58,43.58,43.58
2000-02-24,43.55,43.55,43.55,43.55
2000-02-25,43.6,43.6,43.6,43.6
2000-02-28,43.53,43.53,43.53,43.53
2000-02-29,43.55,43.55,43.55,43.55
2000-03-01,43.55,43.55,43.55,43.55
2000-03-02,43.5,43.5,43.5,43.5
2000-03-03,43.55,43.55,43.55,43.55
2000-03-06,43.55,43.55,43.55,43.55
2000-03-07,43.5,43.5,43.5,43.5
2000-03-08,43.53,43.53,43.53,43.53
2000-03-09,43.53,43.53,43.53,43.53
2000-03-10,43.5,43.5,43.5,43.5
2000-03-13,43.55,43.55,43.55,43.55
2000-03-14,43.54,43.54,43.54,43.54
2000-03-15,43.5,43.5,43.5,43.5
2000-03-16,43.57,43.57,43.57,43.57
2000-03-17,43.51,43.51,43.51,43.51
2000-03-20,43.5,43.5,43.5,43.5
2000-03-21,43.54,43.54,43.54,43.54
2000-03-22,43.5,43.5,43.5,43.5
2000-03-23,43.52,43.52,43.52,43.52
2000-03-24,43.5,43.5,43.5,43.5
2000-03-27,43.59,43.59,43.59,43.59
2000-03-28,43.5,43.5,43.5,43.5
2000-03-29,43.52,43.52,43.52,43.52
2000-03-30,43.53,43.53,43.53,43.53
2000-03-31,43.55,43.55,43.55,43.55
2000-04-03,43.592,43.592,43.592,43.592
2000-04-04,43.6,43.6,43.6,43.6
2000-04-05,43.54,43.54,43.54,43.54
2000-04-06,43.55,43.55,43.55,43.55
2000-04-07,43.57,43.57,43.57,43.57
2000-04-10,43.56,43.56,43.56,43.56
2000-04-11,43.55,43.55,43.55,43.55
2000-04-12,43.55,43.55,43.55,43.55
2000-04-13,43.58,43.58,43.58,43.58
2000-04-14,43.58,43.58,43.58,43.58
2000-04-17,43.59,43.59,43.59,43.59
2000-04-18,43.55,43.55,43.55,43.55
2000-04-19,43.6,43.6,43.6,43.6
2000-04-20,43.6,43.6,43.6,43.6
2000-04-21,43.63,43.63,43.63,43.63
2000-04-24,43.6,43.6,43.6,43.6
2000-04-25,43.6,43.6,43.6,43.6
2000-04-26,43.6,43.6,43.6,43.6
2000-04-27,43.58,43.58,43.58,43.58
2000-04-28,43.6,43.6,43.6,43.6
2000-05-01,43.62,43.62,43.62,43.62
2000-05-02,43.6,43.6,43.6,43.6
2000-05-03,43.58,43.58,43.58,43.58
2000-05-04,43.62,43.62,43.62,43.62
2000-05-05,43.55,43.55,43.55,43.55
2000-05-08,43.55,43.55,43.55,43.55
2000-05-09,43.63,43.63,43.63,43.63
2000-05-10,43.9,43.9,43.9,43.9
2000-05-11,43.8,43.8,43.8,43.8
2000-05-12,43.85,43.85,43.85,43.85
2000-05-15,43.95,43.95,43.95,43.95
2000-05-16,43.95,43.95,43.95,43.95
2000-05-17,43.88,43.88,43.88,43.88
2000-05-18,43.88,43.88,43.88,43.88
2000-05-19,43.91,43.91,43.91,43.91
2000-05-22,43.92,43.92,43.92,43.92
2000-05-23,43.95,43.95,43.95,43.95
2000-05-24,44.05,44.05,44.05,44.05
2000-05-25,44,44,44,44
2000-05-26,44.3,44.3,44.3,44.3
2000-05-29,44.46,44.46,44.46,44.46
2000-05-30,44.45,44.45,44.45,44.45
2000-05-31,44.5,44.5,44.5,44.5
2000-06-01,44.5,44.5,44.5,44.5
2000-06-02,44.5,44.5,44.5,44.5
2000-06-05,44.6,44.6,44.6,44.6
2000-06-06,44.58,44.58,44.58,44.58
2000-06-07,44.65,44.65,44.65,44.65
2000-06-08,44.6,44.6,44.6,44.6
2000-06-09,44.65,44.65,44.65,44.65
2000-06-12,44.65,44.65,44.65,44.65
2000-06-13,44.7,44.7,44.7,44.7
2000-06-14,44.68,44.68,44.68,44.68
2000-06-15,44.6,44.6,44.6,44.6
2000-06-16,44.63,44.63,44.63,44.63
2000-06-19,44.6,44.6,44.6,44.6
2000-06-20,44.6,44.6,44.6,44.6
2000-06-21,44.6,44.6,44.6,44.6
2000-06-22,44.55,44.55,44.55,44.55
2000-06-23,44.6,44.6,44.6,44.6
2000-06-26,44.6,44.6,44.6,44.6
2000-06-27,44.58,44.58,44.58,44.58
2000-06-28,44.64,44.64,44.64,44.64
2000-06-29,44.6,44.6,44.6,44.6
2000-06-30,44.6,44.6,44.6,44.6
2000-07-03,44.6,44.6,44.6,44.6
2000-07-04,44.64,44.64,44.64,44.64
2000-07-05,44.64,44.64,44.64,44.64
2000-07-06,44.66,44.66,44.66,44.66
2000-07-07,44.63,44.63,44.63,44.63
2000-07-10,44.6,44.6,44.6,44.6
2000-07-11,44.6,44.6,44.6,44.6
2000-07-12,44.6,44.6,44.6,44.6
2000-07-13,44.63,44.63,44.63,44.63
2000-07-14,44.63,44.63,44.63,44.63
2000-07-17,44.68,44.68,44.68,44.68
2000-07-18,44.68,44.68,44.68,44.68
2000-07-19,44.7,44.7,44.7,44.7
2000-07-20,44.82,44.82,44.82,44.82
2000-07-21,44.62,44.62,44.62,44.62
2000-07-24,44.6,44.6,44.6,44.6
2000-07-25,44.85,44.85,44.85,44.85
2000-07-26,44.78,44.78,44.78,44.78
2000-07-27,44.8,44.8,44.8,44.8
2000-07-28,44.81,44.81,44.81,44.81
2000-07-31,44.95,44.95,44.95,44.95
2000-08-01,45,45,45,45
2000-08-02,45.25,45.25,45.25,45.25
2000-08-03,45.2,45.2,45.2,45.2
2000-08-04,45.3,45.3,45.3,45.3
2000-08-07,45.48,45.48,45.48,45.48
2000-08-08,45.67,45.67,45.67,45.67
2000-08-09,45.53,45.53,45.53,45.53
2000-08-10,45.79,45.79,45.79,45.79
2000-08-11,45.7,45.7,45.7,45.7
2000-08-14,45.65,45.65,45.65,45.65
2000-08-15,45.62,45.62,45.62,45.62
2000-08-16,45.63,45.63,45.63,45.63
2000-08-17,45.85,45.85,45.85,45.85
2000-08-18,45.72,45.72,45.72,45.72
2000-08-21,45.55,45.55,45.55,45.55
2000-08-22,45.6,45.6,45.6,45.6
2000-08-23,45.72,45.72,45.72,45.72
2000-08-24,45.85,45.85,45.85,45.85
2000-08-25,45.78,45.78,45.78,45.78
2000-08-28,45.73,45.73,45.73,45.73
2000-08-29,45.7,45.7,45.7,45.7
2000-08-30,45.73,45.73,45.73,45.73
2000-08-31,45.71,45.71,45.71,45.71
2000-09-01,45.7,45.7,45.7,45.7
2000-09-04,45.68,45.68,45.68,45.68
2000-09-05,45.64,45.64,45.64,45.64
2000-09-06,45.6,45.6,45.6,45.6
2000-09-07,45.55,45.55,45.55,45.55
2000-09-08,45.55,45.55,45.55,45.55
2000-09-11,45.58,45.58,45.58,45.58
2000-09-12,45.5,45.5,45.5,45.5
2000-09-13,45.5,45.5,45.5,45.5
2000-09-14,45.65,45.65,45.65,45.65
2000-09-15,45.7,45.7,45.7,45.7
2000-09-18,45.95,45.95,45.95,45.95
2000-09-19,46.25,46.25,46.25,46.25
2000-09-20,46.2,46.2,46.2,46.2
2000-09-21,45.83,45.83,45.83,45.83
2000-09-22,46.05,46.05,46.05,46.05
2000-09-25,45.95,45.95,45.95,45.95
2000-09-26,46,46,46,46
2000-09-27,45.98,45.98,45.98,45.98
2000-09-28,45.9,45.9,45.9,45.9
2000-09-29,45.9,45.9,45.9,45.9
2000-10-02,45.97,45.97,45.97,45.97
2000-10-03,45.95,45.95,45.95,45.95
2000-10-04,45.97,45.97,45.97,45.97
2000-10-05,45.97,45.97,45.97,45.97
2000-10-06,46.03,46.03,46.03,46.03
2000-10-09,46.04,46.04,46.04,46.04
2000-10-10,46.16,46.16,46.16,46.16
2000-10-11,46.28,46.28,46.28,46.28
2000-10-12,46.19,46.19,46.19,46.19
2000-10-13,46.31,46.31,46.31,46.31
2000-10-16,46.23,46.23,46.23,46.23
2000-10-17,46.15,46.15,46.15,46.15
2000-10-18,46.27,46.27,46.27,46.27
2000-10-19,46.27,46.27,46.27,46.27
2000-10-20,46.3,46.3,46.3,46.3
2000-10-23,46.3,46.3,46.3,46.3
2000-10-24,46.37,46.37,46.37,46.37
2000-10-25,46.56,46.56,46.56,46.56
2000-10-26,46.56,46.56,46.56,46.56
2000-10-27,46.69,46.69,46.69,46.69
2000-10-30,46.57,46.57,46.57,46.57
2000-10-31,46.79,46.79,46.79,46.79
2000-11-01,46.7,46.7,46.7,46.7
2000-11-02,46.68,46.68,46.68,46.68
2000-11-03,46.54,46.54,46.54,46.54
2000-11-06,46.56,46.56,46.56,46.56
2000-11-07,46.58,46.58,46.58,46.58
2000-11-08,46.62,46.62,46.62,46.62
2000-11-09,46.67,46.67,46.67,46.67
2000-11-10,46.67,46.67,46.67,46.67
2000-11-13,46.7,46.7,46.7,46.7
2000-11-14,46.73,46.73,46.73,46.73
2000-11-15,46.73,46.73,46.73,46.73
2000-11-16,46.77,46.77,46.77,46.77
2000-11-17,46.73,46.73,46.73,46.73
2000-11-20,46.71,46.71,46.71,46.71
2000-11-21,46.73,46.73,46.73,46.73
2000-11-22,46.76,46.76,46.76,46.76
2000-11-23,46.77,46.77,46.77,46.77
2000-11-24,46.8,46.8,46.8,46.8
2000-11-27,46.75,46.75,46.75,46.75
2000-11-28,46.83,46.83,46.83,46.83
2000-11-29,46.8,46.8,46.8,46.8
2000-11-30,46.79,46.79,46.79,46.79
2000-12-01,46.8,46.8,46.8,46.8
2000-12-04,46.76,46.76,46.76,46.76
2000-12-05,46.69,46.69,46.69,46.69
2000-12-06,46.69,46.69,46.69,46.69
2000-12-07,46.69,46.69,46.69,46.69
2000-12-08,46.71,46.71,46.71,46.71
2000-12-11,46.7,46.7,46.7,46.7
2000-12-12,46.61,46.61,46.61,46.61
2000-12-13,46.71,46.71,46.71,46.71
2000-12-14,46.71,46.71,46.71,46.71
2000-12-15,46.71,46.71,46.71,46.71
2000-12-18,46.68,46.68,46.68,46.68
2000-12-19,46.63,46.63,46.63,46.63
2000-12-20,46.65,46.65,46.65,46.65
2000-12-21,46.64,46.64,46.64,46.64
2000-12-22,46.61,46.61,46.61,46.61
2000-12-25,46.64,46.64,46.64,46.64
2000-12-26,46.61,46.61,46.61,46.61
2000-12-27,46.65,46.65,46.65,46.65
2000-12-28,46.65,46.65,46.65,46.65
2000-12-29,46.61,46.61,46.61,46.61
2001-01-01,46.66,46.66,46.66,46.66
2001-01-02,46.64,46.64,46.64,46.64
2001-01-03,46.65,46.65,46.65,46.65
2001-01-04,46.68,46.68,46.68,46.68
2001-01-05,46.65,46.65,46.65,46.65
2001-01-08,46.62,46.62,46.62,46.62
2001-01-09,46.57,46.57,46.57,46.57
2001-01-10,46.57,46.57,46.57,46.57
2001-01-11,46.57,46.57,46.57,46.57
2001-01-12,46.49,46.49,46.49,46.49
2001-01-15,46.47,46.47,46.47,46.47
2001-01-16,46.47,46.47,46.47,46.47
2001-01-17,46.38,46.38,46.38,46.38
2001-01-18,46.34,46.34,46.34,46.34
2001-01-19,46.32,46.32,46.32,46.32
2001-01-22,46.31,46.31,46.31,46.31
2001-01-23,46.29,46.29,46.29,46.29
2001-01-24,46.32,46.32,46.32,46.32
2001-01-25,46.43,46.43,46.43,46.43
2001-01-26,46.43,46.43,46.43,46.43
2001-01-29,46.43,46.43,46.43,46.43
2001-01-30,46.43,46.43,46.43,46.43
2001-01-31,46.43,46.43,46.43,46.43
2001-02-01,46.4,46.4,46.4,46.4
2001-02-02,46.35,46.35,46.35,46.35
2001-02-05,46.35,46.35,46.35,46.35
2001-02-06,46.32,46.32,46.32,46.32
2001-02-07,46.37,46.37,46.37,46.37
2001-02-08,46.35,46.35,46.35,46.35
2001-02-09,46.42,46.42,46.42,46.42
2001-02-12,46.45,46.45,46.45,46.45
2001-02-13,46.5,46.5,46.5,46.5
2001-02-14,46.54,46.54,46.54,46.54
2001-02-15,46.51,46.51,46.51,46.51
2001-02-16,46.49,46.49,46.49,46.49
2001-02-19,46.49,46.49,46.49,46.49
2001-02-20,46.56,46.56,46.56,46.56
2001-02-21,46.55,46.55,46.55,46.55
2001-02-22,46.51,46.51,46.51,46.51
2001-02-23,46.54,46.54,46.54,46.54
2001-02-26,46.57,46.57,46.57,46.57
2001-02-27,46.58,46.58,46.58,46.58
2001-02-28,46.49,46.49,46.49,46.49
2001-03-01,46.49,46.49,46.49,46.49
2001-03-02,46.49,46.49,46.49,46.49
2001-03-05,46.46,46.46,46.46,46.46
2001-03-06,46.46,46.46,46.46,46.46
2001-03-07,46.47,46.47,46.47,46.47
2001-03-08,46.47,46.47,46.47,46.47
2001-03-09,46.47,46.47,46.47,46.47
2001-03-12,46.5,46.5,46.5,46.5
2001-03-13,46.58,46.58,46.58,46.58
2001-03-14,46.6,46.6,46.6,46.6
2001-03-15,46.58,46.58,46.58,46.58
2001-03-16,46.64,46.64,46.64,46.64
2001-03-19,46.64,46.64,46.64,46.64
2001-03-20,46.65,46.65,46.65,46.65
2001-03-21,46.66,46.66,46.66,46.66
2001-03-22,46.66,46.66,46.66,46.66
2001-03-23,46.62,46.68,46.6,46.6
2001-03-26,46.6,46.655,46.59,46.6
2001-03-27,46.56,46.66,46.54,46.57
2001-03-28,46.54,46.672,46.505,46.576
2001-03-29,46.587,46.713,46.51,46.596
2001-03-30,46.596,46.678,46.521,46.607
2001-04-02,46.641,46.673,46.571,46.607
2001-04-03,46.626,46.698,46.581,46.606
2001-04-04,46.601,46.666,46.535,46.551
2001-04-05,46.556,46.626,46.53,46.556
2001-04-06,46.621,46.632,46.51,46.551
2001-04-09,46.566,46.621,46.49,46.521
2001-04-10,46.521,46.614,46.49,46.531
2001-04-11,46.562,46.721,46.506,46.646
2001-04-12,46.657,46.957,46.526,46.526
2001-04-13,46.816,46.843,46.795,46.816
2001-04-16,46.811,47.047,46.811,47.017
2001-04-17,47.006,47.073,46.605,46.836
2001-04-18,46.837,46.913,46.805,46.853
2001-04-19,46.837,46.887,46.81,46.836
2001-04-20,46.837,46.884,46.77,46.796
2001-04-23,46.786,46.841,46.756,46.796
2001-04-24,46.796,46.892,46.775,46.796
2001-04-25,46.807,46.882,46.78,46.796
2001-04-26,46.796,46.896,46.721,46.826
2001-04-27,46.816,46.901,46.795,46.827
2001-04-30,46.871,46.898,46.791,46.811
2001-05-01,46.827,46.877,46.775,46.821
2001-05-02,46.826,46.891,46.775,46.807
2001-05-03,46.796,46.892,46.775,46.796
