Date,nifty,gold,sensex,platinum,taiwan_50,nyse,nasdaq,nikkie,palladium,silver,jpy_index,djia,ftse_100,usdinr,dax,shanghai,kospi,crude,cac_40,hang_seng,straits_times_index,dollar_index,euro_index
2000-01-03,1592.2,285.1,5375.11,415.7,8922.03,6762.109863,4131.15,19008.01,451.95,525.7,294.37,11357.5,6379.8,43.42,6750.76,1433.33,941.67,27.32,5917.37,17369.6,2582.94,100.22,148.67
2000-01-04,1638.7,283.7,5491.01,413.7,8756.55,6543.759765999999,3901.69,19002.86,441.9,537.5,289.45,10997.9,6665.9,43.41,6586.95,1406.37,1059.04,25.55,5672.02,17072.8,2530.15,100.41,149.75
2000-01-05,1595.8,283.04999999999995,5357,401.9,8849.87,6567.029785,3877.54,18542.55,438.1,527.1,286.36,11122.7,6535.9,43.44,6502.07,1409.68,986.31,24.91,5479.7,15846.7,2391.03,100.38,149.91
2000-01-06,1617.6,282.4,5421.53,394,8922.03,6635.439941,3727.13,18168.27,435.3,516.7,282.7,11253.3,6447.2,43.43,6474.92,1463.94,960.79,24.78,5450.11,15153.2,2359.21,100.65,149.67
2000-01-07,1613.3,282.9,5414.48,396,8845.47,6792.669922,3882.62,18193.41,443.9,519.5,283.94,11522.6,6504.8,43.42,6780.96,1516.6,948.65,24.22,5539.61,15405.6,2406.04,100.8,149.86
2000-01-10,1632.95,282.7,5518.39,398.5,9102.6,6838.450195,4049.67,18522.165,451.95,519,284.79,11572.2,6607.7,43.42,6925.52,1545.11,987.24,24.67,5646.12,15848.2,2433.68,100.99,149.39
2000-01-11,1572.5,284.4,5296.3,398,8927.03,6774.47998,3921.19,18850.92,449.4,519.5,280.92,11511.1,6518.9,43.45,6891.25,1479.78,981.33,25.77,5613.9,15862.1,2409.7,100.56,150.08
2000-01-12,1624.8,283.7,5491.2,402.4,9144.65,6766.549805,3850.02,18677.42,452.25,514.3,281.26,11551.1,6532.8,43.45,6912.81,1438.02,955.01,26.28,5582.5,15714.2,2427.56,100.62,149.67
2000-01-13,1621.4,285.1,5444.82,404.9,9107.19,6836.759765999999,3957.21,18833.29,447,515.3,281.59,11582.4,6531.5,43.45,6955.98,1424.44,951.05,26.69,5633.24,15634,2394.32,101,149.11
2000-01-14,1622.75,284.9,5471.27,410.4,9023.24,6870.490234000001,4064.27,18956.55,441,515,284.04,11723,6658.2,43.45,7173.22,1408.85,948.03,27.14,5787.44,15542.2,2392.53,101.72,147.88
2000-01-17,1611.6,287.25,5404.07,413.04999999999995,9315.43,6839.565185500001,4097.54,19437.23,439.85,515.75,287.12,11641.85,6669.5,43.52,7258.9,1433.33,983.27,27.47,5842.78,15574.6,2342.04,102.05,147.76
2000-01-18,1606.7,289.6,5464.51,415.7,9250.19,6808.640137,4130.81,19196.57,438.7,516.5,284.13,11560.7,6504.6,43.55,7072.12,1426.62,981.53,27.8,5672.95,15789.2,2319.77,101.86,147.82
2000-01-19,1634.85,290.3,5478.24,428.2,9151.44,6823.970215,4151.29,18897.75,442.75,517.3,284.25,11489.4,6445.4,43.48,7091.04,1440.72,938.78,27.93,5649.46,15275.3,2254.87,101.76,147.45
2000-01-20,1601.1,289.3,5355.8,423.5,9136.95,6772.580078,4189.51,19008.01,451.7,525.7,283.16,11351.3,6348.7,43.5,7112.66,1466.86,945.9,27.97,5709.74,15215.3,2315.53,101.36,147.4
2000-01-21,1620.6,289.7,5423.05,427,9255.94,6762.75,4235.4,18878.09,457.1,526,286.21,11251.7,6346.3,43.5,6992.75,1465.08,925.16,28.2,5681.32,15108.4,2278.48,101.76,146.72
2000-01-24,1613.6,288.1,5458.06,436,9387.07,6611.120117,4096.08,19056.71,470.25,529.3,283.18,11008.2,6379.8,43.6,6931.99,1477.34,926.77,27.83,5690.86,15167.5,2264.64,102.2,146.15
2000-01-25,1586.4,286.6,5367.79,441.9,9372.37,6606.779785,4167.41,18895.53,479,531.5,284.1,11029.9,6274.1,43.5,6809.64,1476.51,891.22,28.28,5597.5,15103,2238.83,102.41,146.16
2000-01-27,1603.9,289.9,5369.1,445.6,9628.98,6627.189941,4039.56,19209.72,483,541.5,287.91,11028,6441,43.49,7126.13,1506.77,909.23,27.32,5688.35,15917.8,2305.72,103.17,144.75
2000-01-28,1599.1,286,5335.8,453.8,9696.91,6469.109863000001,3887.07,19434.78,485.9,532.7,285.1,10738.9,6375.6,43.55,7066.6,1535,941.67,27.22,5731.05,16185.9,2284.91,104.48,143.92
2000-01-31,1546.2,286.2,5205.29,455,9744.89,6574.009765999999,3940.35,19539.7,484.7,531.7,285.55,10940.5,6268.5,43.55,6835.6,1547.6309090909092,943.88,27.64,5659.81,15532.3,2230.28,105.13,143.66
2000-02-01,1549.5,285.4,5215.54,452.9,9856.39,6606.890136999999,4051.98,19423.38,492.55,525.3,283.94,11041,6290.9,43.59,7050.46,1560.2618181818182,928.75,28.22,5773.42,15653.9,2230.39,104.92,143.78
2000-02-02,1588,287.7,5304.92,466.2,9881.805,6618.419922,4073.96,19578.91,502.25,524,283.11,11003.2,6302.8,43.55,7171.95,1572.8927272727274,943.59,27.55,5946.86,15789.8,2271.4,104.79,144.85
2000-02-03,1597.9,289.9,5340.19,474.8,9907.22,6657.540039,4210.98,19786.42,514.05,528.8,283.56,11013.4,6324.3,43.56,7354.26,1585.5236363636363,950.22,28.03,6149.67,15968.1,2249.33,103.8,146.69
2000-02-04,1599.75,313,5313.59,479.5,9932.634999999998,6628.669922,4244.14,19763.13,525,557.2,285.84,10963.8,6185,43.55,7444.61,1598.1545454545455,961.675,28.82,6275.72,16054.966666666667,2258.91,104.29,145.88
2000-02-07,1636.6,304.5,5474,474.3,9958.05,6596.319824,4321.77,19945.43,540.9,528,281.76,10905.8,6118.6,43.58,7296.32,1610.7854545454545,973.13,28.45,6203.58,16141.833333333334,2252.355,104.64,145.72
2000-02-08,1662.75,301.7,5610.56,498.5,9983.465,6651.299805,4427.5,19868.88,579.8,534,278.75,10957.6,6285.8,43.6,7549.88,1623.4163636363637,961.22,28.02,6297.66,16228.7,2245.8,104.22,146.04
